gene_symbol	GSM909689	GSM909692	GSM909736	GSM909738	GSM909745	GSM909762	GSM909812	GSM909816	GSM909836	GSM909848	GSM909851	GSM909862	GSM909896	GSM909906	GSM909907	GSM909978	GSM910060	GSM910073	GSM910158	GSM910172	GSM910179	GSM910188	GSM910194
AC012499.1	0.90377756549762	3.199624549159309	1.072725109470569	-0.7920086589554621	0.7703436532045319	-0.6884787919212575	0.3377043004866955	0.5347410235235087	-0.3750431506491787	2.5381883149917805	-0.2927142205295478	-1.1805550125260604	3.378345972531633	0.030744431774127	1.9960382861879624	-0.0204017973583065	-0.8380402651746552	-0.0821072479890525	-0.9018493107132648	0.7906784039805722	0.4894931095248929	0.2295135270880033	1.6679187275197995
ADAM5	-0.9643430531580912	3.550325977949833	0.9240418136634404	-1.225205516271578	0.1101079568478056	0.5738975515111117	1.3132444649096844	-0.256649549388675	0.916790305275672	0.6982858594113804	1.1578166316882192	-0.8690375143473977	0.7090672025699176	2.26817987370974	2.5258961797449344	-0.2426453136133503	-1.4598244252197998	-0.1272350637169884	0.8670273085617147	-0.0835341745441286	0.6239291226098014	0.3136106049363391	3.550325977949833
AKT2	-0.5949699276298855	0.3186022773518771	0.7248815663748162	-0.9387699423896432	1.4353854339373968	-0.9014620717043016	2.08698964326968	2.1682654670601083	1.2258566739568773	2.3916135415261373	2.2534489195079463	-0.9837504562052264	-1.2148856929917142	2.13979967581854	1.813469898669464	1.1875932882348708	-0.1594547307686624	-1.0372735596769722	0.6389993044225505	2.768732080386065	2.150025112852711	1.2837722943135943	-0.5331466786157586
ANKRD18A	0.5055068974371979	-0.746399297223749	-0.2203346497676121	1.5050922348352185	1.3709289864309475	-0.3389279150872693	0.4734956183459617	0.4700103666579226	3.334015941304622	3.3994401767964137	-1.1378271566440874	-0.7950791713447388	0.8359428523168406	4.418888418162625	-0.6091106872513978	-0.8386637590304977	1.7631334508469914	0.1139464469200318	1.4442329213913505	0.0420063060984276	0.0070401397064629	0.5082155441295332	1.1471341565712183
AOAH	0.6509230525410118	-2.61480908805395	0.4541044896732604	0.2775426117036712	1.5943992344586395	0.1413047887182655	1.37229853895249	1.8809184252977995	0.9696603544219764	0.6959455569535697	1.4548570074796512	0.519779519045712	-1.4374946922779714	1.1339684009153637	1.1073438541545746	1.8372557175494748	0.591960093780524	0.6887688045300077	1.0005875105494113	1.037710424164811	1.879576183279782	1.199041064976483	-3.173167999199533
AP1S1	-0.863312058791014	-0.7020731586009703	1.0721313380403452	-0.6800472467598184	1.209176330878173	0.0215068751084137	2.394101196586052	1.3205513343136936	2.568154795349062	1.895485292822843	2.568154795349062	-0.3974005979500611	-1.2474393485442976	1.0954026941112585	1.6949226442671796	1.7035715625294126	-0.1725056593499855	0.0549493590557124	1.9533523219426847	1.7074693416929252	1.9332868315743057	2.2442096771560536	-1.7985253564317174
ATP6V0D1	-0.0019357695627323	-2.2198745417700447	1.37300008540479	-0.3464485294774569	1.6117541432487246	0.4054988725811543	1.510347002672883	1.569874909362812	1.1279792941544835	1.5148803842860037	1.6254672589881771	-0.0256087489488945	-1.6656504575542643	1.6217178857246195	1.486613416580665	1.6254672589881771	0.5051484186813209	0.0133128776813994	1.1750343407377266	1.2343319419446384	1.2034225218551804	1.558783882154242	-3.118337322375753
BSG	-1.2335249115905915	-1.9096099625581295	1.5328552139481433	-0.8838724277682208	1.809109950658308	-0.3748431874786874	1.9303791044749377	1.9366974025280768	1.77806714556843	1.5836033046892417	1.6071582704483631	-0.3482761643164594	-1.0253798998663952	1.531332263575787	1.5136406567502387	1.7367105821235342	1.1820520565111037	-0.169828684853225	1.0116423706797528	1.6286910965464103	1.555691008698098	1.6586086105278248	-1.8855676526798533
C20ORF27	-0.8859779208382386	-1.3136094444067397	2.317959663173092	-0.7509918129802617	2.3629000517465437	0.4075110102452524	1.6048767386657066	1.81055958427955	2.1445547251060755	2.6906278988577306	1.4790512633740849	-1.1151586771347572	-1.2605107639494009	1.5235348891048937	-0.2777981958580429	1.4435506402152714	1.292108382165377	-0.1599406945992073	1.5798182216039989	1.424290473683792	1.9450001142977027	0.8395452201025689	-0.7963001493991768
CAMK2G	-0.4610604765696084	-1.1272428743628622	1.803321508494493	-0.9160621467766028	1.562223023271253	-1.3414387967011865	1.5972197740100085	2.135797958946524	0.8893369400583649	0.7850053468898828	2.18477291836596	-0.5216424720977169	-1.5449058949945471	1.5089448247396506	2.235438143270679	1.1083337550116228	-0.0529406936968827	0.296529160187894	0.7179538558257931	1.3345026351518314	1.1405495008819715	2.234845642865031	-2.0865076176977317
CDC34	-1.507937432303385	-1.785145511914521	1.92993345281821	-0.7871069877582247	1.5230530028657805	-0.2246656207899727	1.867242560380865	1.6642072216388213	1.4775244522948392	1.3114002347218054	1.562574733783483	-0.2830417554482292	-1.5106447313020284	1.4659700869256267	1.8398915888008147	1.51079764043442	0.4147162168272386	-0.4821370072547457	1.2461591633169882	2.137589570815438	1.505793971749427	2.0374639849205938	-1.9194975210919067
COL18A1	-0.6538118668107065	-0.4496009102275849	1.2593579561726689	-1.0073969842386905	2.0757303766737283	-0.2323545576102531	2.102487781583575	2.752205225775457	1.0505969085210027	1.2490382676455858	1.2220451598200242	-0.498135214958737	-1.75599969249585	1.205925129975831	2.752205225775457	0.9545940861558352	0.0975987805292941	-0.7449674074744729	-0.7511264271415805	1.9941669198841936	1.142992451480475	2.570983194398046	-0.6274233882037146
CRISP2	1.196425093579227	-0.8964140468646493	-0.4265468917258387	3.297392508907364	3.240851435810016	-0.6120830264010555	-0.5380694664793279	-0.1925054418876332	3.1231037919988243	2.1952909515514545	-0.9739300341755288	-0.0523554794929916	3.510075760025299	0.5589172252177046	-0.590275459638404	1.272659060298606	1.6937036993033336	3.519553328540349	1.5129123624873848	1.7145860965669633	-0.1349466823413615	0.8548128644190683	1.046560851444858
CTDSP1	-1.4719621607017357	-1.9504956779068157	1.8590641272957111	-1.36072533661674	1.814219114992592	-0.5443165156563315	1.6099954882390346	1.8521026271908945	1.020431489933034	1.3788530798962393	1.0678226745789323	-0.5380761857526466	-1.6607468580473588	1.1559526167092509	1.822240293760298	1.1300346427460768	1.4802290053126783	-0.4589829477753036	1.028143595757398	1.8580927551880624	1.4373708905024756	1.5707726599529124	-1.3425783395147548
CTSZ	-0.7319212834141344	-2.5925695055081164	1.892572255442476	0.9130958819498304	2.0724686677102877	0.1829895887158601	2.163466957386042	0.5436187824527039	1.0001333031663289	1.1852570229417692	1.6639903517772945	0.417062916478531	-2.5925695055081164	0.278357687370834	1.8003295364341694	2.0565116237396306	1.0598676719061395	0.4319855038055708	1.080193644467384	1.2245663753991405	1.1612884424120518	1.3538844607089242	-2.2099947542712965
DCTN3	-0.1163867161209876	-2.425412471401924	-0.0958886709910403	0.1061007670297757	2.3490588806533856	-0.5186368413685251	2.101984719542202	1.2633210604972105	0.9386726375622496	2.4105873166542278	0.728094326548562	-0.7874438696054377	-0.962596509584632	2.4105873166542278	0.6344673787796428	1.5344056493041187	0.6279365424464097	0.3719167819880175	0.8147239496747296	0.3086115743376987	1.5412932119916891	1.1586630362326595	-1.767206522034893
DPY19L1P1	0.2448127821787609	-0.0857421684323658	-0.5763236573934067	3.516146505546772	1.3907027339513798	0.4943804995021876	-0.0555281078045091	-0.4388253324338467	3.561647568118083	2.853681523819836	-0.079009112174721	-0.1304386519540218	0.9272863744826566	1.6261056253742916	-0.6687655555722549	-0.7938987709265818	1.6076426534979842	2.3565575367971223	1.6675202732986685	-0.3144543498634044	-0.4559120506725849	-0.0102387765620561	-0.0397541238046838
ELMO3	-0.773779512406972	-1.0387366717058026	2.3891638262544848	-0.6097729244404309	2.303711061261133	-0.5977581087061871	1.440516201861391	1.0871674362278376	1.3475972736557948	0.7577394722101084	1.918322787002929	-1.4301323538311297	-1.8701965284086528	0.6261424143672811	0.9582040608195104	1.594423379500596	0.2784745670428555	-0.4185806392781095	0.98445382128237	2.3891638262544848	1.8633637114069752	1.3839029125049245	-1.335537445894488
EPX	-0.86455740429712	2.7588166082015357	-0.7365744039925549	-0.0835414205263597	0.5810938116754526	1.9029785215395405	-0.3618575962532802	0.3749265366370238	0.1213857091602786	2.924114204202137	-0.3945423159693054	0.2857738652362353	1.935883711540327	-0.3275744669727295	0.630782302103777	-0.6675672048619258	-0.4107744406849361	3.122059866733919	1.7269054403711788	0.7935169310440148	-1.1223147259699475	0.0755003311441058	2.1848222218226576
FAM160A2	-0.4645050115292374	-1.9965075687711409	1.686223903968801	-0.1081199717333492	1.6319147844548636	-1.297563271684574	1.6226072315265172	2.014041985441995	0.6300425580804225	0.9547870816108815	1.211396703122189	-0.0096483854123775	-1.704203933602584	1.2498016545255568	2.014041985441995	1.8400244387653464	0.7985337936154647	0.6908192005029612	0.8540821989562012	1.9389220295892795	1.873330245360536	1.9607515330592264	-2.118485179919624
GAA	-0.9615446793648548	-1.7118484131084164	1.1892376034499703	-1.0761929510121706	0.7935469296659258	-0.1921723607146126	1.5420845934997045	1.3608535044973094	1.259291115693952	1.348700829644626	1.934587680437143	-1.0940706996090852	-1.3143077855502057	1.6686234029235016	2.2107194162979824	2.043825442831667	1.165781577871495	-0.7918895636475004	-0.0331495248079747	1.304357721834446	2.208416070236818	0.9451250726084528	-0.8419577452019111
IGFBP2	-1.3017667752976645	-0.7286411736488833	2.2156595789995666	0.3391957370982896	2.3026889333550966	-0.6469703877361512	1.6145177963604682	2.8101160736778765	2.6151744551511564	0.7845082818060053	2.1799759930026754	-0.4804757032900043	-0.7391515490511548	1.4328778332608851	3.1398489492078263	1.6433437931604684	0.5292095402724706	-0.7000047082085966	0.2832667558593179	0.9383905157694264	1.4146655926048173	1.6454975586117546	-1.1583604564892942
KIAA0513	-0.4335682548091421	-2.163003418546852	0.87122442586475	-0.3721096782923093	1.795507214234917	-1.1193384380839282	1.520713941636714	1.6752127600568751	0.5625546263813762	1.7416326085756026	1.238730103009333	-0.804592719585022	-1.245446541391942	1.456960503621206	1.1927891613882855	2.0286651425000626	0.6597037631585221	0.9744057700098324	1.4390168722839654	1.826848465559648	1.9705286512003544	1.617032557109575	-2.1250341700974835
KIAA2013	-0.9409334541925786	-1.9762620229456769	1.9048722013134696	-1.3209931229427994	1.3920098411996251	-0.1570235305204217	1.752760719756658	2.0539522365076666	0.9896085879850332	1.5291932353993984	1.7222642884742243	-0.6306786002507176	-2.0446746166949925	1.1869424018965724	2.049822918618882	1.2613975012540777	1.1196143690763465	-0.0367395399539544	1.1826290944886717	1.4759845447972264	1.8004766829565808	1.3677643358872376	-1.488740343853258
