"pathway_id","pathway_description","NES","p.adjust","direction","n_core_genes","n_ko_hits","ko_genes_hit","ko_ranks_hit","ko_scores_hit","ko_modules_hit"
"GO:0030101","natural killer cell activation",1.80531785613412,0.00191335803376116,"activated",35,2,"KLRD1; MERTK","45; 85","1.32; 0.811","immune; immune"
"GO:0043409","negative regulation of MAPK cascade",1.80501166752593,0.000389061785749687,"activated",49,3,"CASC2; CHRNA10; DUSP2","16; 72; 124","1.914; 0.939; 0.354","apoptosis; uncharacterised; signalling"
"GO:0046637","regulation of alpha-beta T cell differentiation",1.80215868866154,0.00449130429230003,"activated",41,3,"HLX; CD86; STAT5A","47; 57; 96","1.312; 1.164; 0.63","uncharacterised; immune; signalling"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion",1.80096505556291,1.42327381016831e-05,"activated",123,3,"HLX; CD86; CD46","47; 57; 63","1.312; 1.164; 1.069","uncharacterised; immune; uncharacterised"
"GO:0051348","negative regulation of transferase activity",1.79955910666099,0.000220009208539264,"activated",55,2,"TRIB1; IRS2","14; 26","1.991; 1.728","signalling; signalling"
"GO:0001819","positive regulation of cytokine production",1.79910679284517,8.45608022483942e-08,"activated",178,7,"HIF1A; IL10; CD86; CD46; TIGIT; PANX2; PDE4B","1; 36; 57; 63; 75; 99; 148","3.18; 1.539; 1.164; 1.069; 0.914; 0.599; 0.191","signalling; immune; immune; uncharacterised; immune; uncharacterised; uncharacterised"
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",1.79859683086944,0.0135145846066478,"activated",14,1,"BTG2","119","0.424","apoptosis"
"GO:0032635","interleukin-6 production",1.7937222563156,0.000734262271251145,"activated",68,1,"IL10","36","1.539","immune"
"GO:0032675","regulation of interleukin-6 production",1.7937222563156,0.000734262271251145,"activated",68,1,"IL10","36","1.539","immune"
"GO:0090594","inflammatory response to wounding",1.78344045889229,0.0159933349251993,"activated",10,1,"HIF1A","1","3.18","signalling"
"GO:0032945","negative regulation of mononuclear cell proliferation",1.78135633830274,0.00442682630598304,"activated",34,2,"IL10; CD86","36; 57","1.539; 1.164","immune; immune"
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT",1.77868370173765,0.00145003343088278,"activated",45,3,"IL10; STAT5A; SOCS3","36; 96; 103","1.539; 0.63; 0.563","immune; signalling; signalling"
"GO:0050863","regulation of T cell activation",1.77696146861151,9.4225366435019e-07,"activated",160,6,"IL10; HLX; CD86; CD46; TIGIT; STAT5A","36; 47; 57; 63; 75; 96","1.539; 1.312; 1.164; 1.069; 0.914; 0.63","immune; uncharacterised; immune; uncharacterised; immune; signalling"
"GO:0001915","negative regulation of T cell mediated cytotoxicity",1.774715666669,0.0329135371620767,"activated",8,1,"KLRD1","45","1.32","immune"
"GO:0001909","leukocyte mediated cytotoxicity",1.77183752590201,0.00117255651681321,"activated",63,4,"PRF1; TREM1; KLRD1; KIR3DL1","2; 11; 45; 113","3.151; 2.127; 1.32; 0.502","immune; immune; immune; immune"
"GO:0050867","positive regulation of cell activation",1.77109482726874,2.56961398935811e-06,"activated",157,7,"IRS2; GPR183; IL10; PRKDC; HLX; CD86; CD46","26; 35; 36; 46; 47; 57; 63","1.728; 1.552; 1.539; 1.313; 1.312; 1.164; 1.069","signalling; uncharacterised; immune; uncharacterised; uncharacterised; immune; uncharacterised"
"GO:0050672","negative regulation of lymphocyte proliferation",1.7706906191115,0.00777601520928644,"activated",33,2,"IL10; CD86","36; 57","1.539; 1.164","immune; immune"
"GO:0002718","regulation of cytokine production involved in immune response",1.77038257543782,0.00223346735361043,"activated",57,1,"IL10","36","1.539","immune"
"GO:1900101","regulation of endoplasmic reticulum unfolded protein response",1.76826165360436,0.0299036850538925,"activated",12,1,"PPP1R15A","143","0.215","signalling"
"GO:0060674","placenta blood vessel development",1.76825129238092,0.0329135371620767,"activated",8,1,"SOCS3","103","0.563","signalling"
"GO:0001783","B cell apoptotic process",1.76742285763106,0.0330232946802767,"activated",11,2,"IRS2; IL10","26; 36","1.728; 1.539","signalling; immune"
"GO:0001771","immunological synapse formation",1.76443178902014,0.0344889141141361,"activated",8,1,"PRF1","2","3.151","immune"
"GO:0042326","negative regulation of phosphorylation",1.76421674920653,5.74322405860519e-05,"activated",73,3,"TRIB1; IRS2; PRKDC","14; 26; 46","1.991; 1.728; 1.313","signalling; signalling; uncharacterised"
"GO:0032722","positive regulation of chemokine production",1.76162493803122,0.0114729348740034,"activated",26,1,"HIF1A","1","3.18","signalling"
"GO:0060416","response to growth hormone",1.7605188580852,0.0208201754929789,"activated",15,1,"STAT5A","96","0.63","signalling"
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction",1.75992688896355,0.0134444667692781,"activated",23,1,"CD86","57","1.164","immune"
"GO:0070782","phosphatidylserine exposure on apoptotic cell surface",1.75467586978414,0.0397715326095267,"activated",4,1,"FASLG","144","0.213","immune"
"GO:1902105","regulation of leukocyte differentiation",1.7502324189095,1.86633912256549e-05,"activated",125,7,"TRIB1; IL10; PRKDC; HLX; CD86; CD46; STAT5A","14; 36; 46; 47; 57; 63; 96","1.991; 1.539; 1.313; 1.312; 1.164; 1.069; 0.63","signalling; immune; uncharacterised; uncharacterised; immune; uncharacterised; signalling"
"GO:0046634","regulation of alpha-beta T cell activation",1.74961687146048,0.00286807882143095,"activated",58,3,"HLX; CD86; STAT5A","47; 57; 96","1.312; 1.164; 0.63","uncharacterised; immune; signalling"
"GO:0032621","interleukin-18 production",1.74509117622914,0.0365429427738405,"activated",8,1,"IL10","36","1.539","immune"
"GO:0032661","regulation of interleukin-18 production",1.74509117622914,0.0365429427738405,"activated",8,1,"IL10","36","1.539","immune"
"GO:0002702","positive regulation of production of molecular mediator of immune response",1.74508570166594,0.00317715209930333,"activated",56,2,"IL10; CD86","36; 57","1.539; 1.164","immune; immune"
"GO:0002274","myeloid leukocyte activation",1.74491100267842,0.00021026442062898,"activated",81,3,"IL10; SNAP23; PTGDR","36; 112; 145","1.539; 0.51; 0.212","immune; uncharacterised; uncharacterised"
"GO:0032615","interleukin-12 production",1.74314953472403,0.0170352575824596,"activated",30,2,"IL10; TIGIT","36; 75","1.539; 0.914","immune; immune"
"GO:0032655","regulation of interleukin-12 production",1.74314953472403,0.0170352575824596,"activated",30,2,"IL10; TIGIT","36; 75","1.539; 0.914","immune; immune"
"GO:0045058","T cell selection",1.741932304854,0.00792074475775561,"activated",32,2,"STAT5A; SOCS3","96; 103","0.63; 0.563","signalling; signalling"
"GO:0035723","interleukin-15-mediated signaling pathway",1.74165507832519,0.0344889141141361,"activated",5,1,"STAT5A","96","0.63","signalling"
"GO:0071350","cellular response to interleukin-15",1.74165507832519,0.0344889141141361,"activated",5,1,"STAT5A","96","0.63","signalling"
"GO:0046639","negative regulation of alpha-beta T cell differentiation",1.73754197404504,0.0345120475367004,"activated",16,2,"HLX; STAT5A","47; 96","1.312; 0.63","uncharacterised; signalling"
"GO:0046638","positive regulation of alpha-beta T cell differentiation",1.73703661354108,0.0135145846066478,"activated",29,2,"HLX; CD86","47; 57","1.312; 1.164","uncharacterised; immune"
"GO:0060760","positive regulation of response to cytokine stimulus",1.73541416895495,0.0185211241015854,"activated",35,1,"HIF1A","1","3.18","signalling"
"GO:1903706","regulation of hemopoiesis",1.73527816127639,2.85888538750475e-06,"activated",156,9,"HIF1A; TRIB1; IL10; PRKDC; HLX; CD86; CD46; STAT5A; ACVR1B","1; 14; 36; 46; 47; 57; 63; 96; 155","3.18; 1.991; 1.539; 1.313; 1.312; 1.164; 1.069; 0.63; 0.13","signalling; signalling; immune; uncharacterised; uncharacterised; immune; uncharacterised; signalling; uncharacterised"
