	GSM5532529	GSM5532546	GSM5532557	GSM5532582	GSM5532583	GSM5532594	GSM5532622	GSM5532641	GSM5532661	GSM5532665	GSM5532686	GSM5532689	GSM5532736	GSM5532907	GSM5532931	GSM5532958	GSM5532972	GSM5533000	GSM5533018	GSM5533028	GSM5533034	GSM5533038	GSM5533043	GSM5533044	GSM5533049	GSM5533050	GSM5533098	GSM5533148	GSM5533203	GSM5533225	GSM5533238	GSM5533245	GSM5533273	GSM5533289	GSM5533296	GSM5533304
ABCB10	0.8059958065060558	1.4331710904749015	1.891129139451422	0.0271892682720807	0.2359800273374814	0.6366045946240596	3.0730143536569936	2.684729077693262	-0.1688925362350965	0.7481721057980656	1.5657964256143762	0.2829961007885253	-0.951315519928708	2.428899459028129	2.7069050513375874	2.8078958400425544	1.998893498647556	2.021417269363931	-0.3618003935236276	-0.1609482146507641	-0.8950580018604247	-1.0209997369343538	2.804036352928811	-0.7185679950786029	0.5039325175603209	1.1287306949918965	-1.4365838207715511	-0.2359808333593617	1.843225732535741	1.2867042272141325	-0.5386159971778157	2.4100653069922178	-0.3520345972232721	2.31807775873635	-1.422959800100268	-1.0389009854793732
ACAT2	0.4194932916050498	1.1025190836509196	0.4664015394231408	-0.3669097545753008	0.1703607822866323	0.7888295197381133	1.8597473136835183	0.9630117552449662	1.2283109701031063	0.6625602098017908	0.7811079278549811	2.0031234156599047	0.038331576959046	-1.3575340926438677	-1.254195706268505	0.1383416751061312	-0.1148839694205921	0.3968092681210189	2.764553948702928	0.7161890902773549	3.1983131861159078	2.5554735966324085	2.4911136902468862	2.755367033146748	3.2607338798386727	2.40263519030968	0.2621523396442098	3.2607338798386727	0.2334049141712032	0.0389078144525684	0.4161822560152414	0.5850968447941028	1.0715281128236769	0.4053989087289009	0.2226826447920495	0.1968642409934122
ACSL6	1.041493533828312	1.0675131781878713	1.3480842760929792	-0.0924035808673175	-0.0215523945331963	0.9114169891400644	1.653781867214121	1.5819222095633207	0.9717684245494498	1.253481415921472	0.2170854003381487	-0.2202909723461159	-0.5216186157486332	3.5524825341941457	-0.3956785537684721	2.8495768494613394	2.661161542975047	2.70670392141767	0.1526965280150722	-0.8405439397251832	-0.8943160937633301	-1.1184370830011434	-0.0133040184276374	-0.7769473227349434	-0.4500906821387688	0.5786406027849823	0.3763304932579581	-1.5032612692605152	3.5524825341941457	0.5465903483317966	0.9014967160539248	2.2680751848475325	0.8290261174772773	3.5524825341941457	-0.4692826977869833	0.2366034426603306
ADRA2A	-0.4797627580023214	1.2283091876777217	1.1872689319196772	-0.8241637884449982	-0.0601861892372564	-0.8762344390308768	0.532812320927134	1.6367397780262576	-0.6486496700300143	-0.4768641109979596	0.2980568520396495	1.2469035502436558	-0.3325599965675325	0.1711737237676236	-0.5544182264553287	0.0162049052856953	-0.1507357818655398	0.8887106429637679	2.8427845778366208	2.1006857745965246	2.2793580121531094	1.5573196400813147	2.519773640070196	1.8778961899654416	2.1619644030692395	1.5725649000663269	2.652833763031849	1.2482655463412118	0.7676073169556592	0.7626807268848195	0.0421291606255045	-1.1143873435444551	0.2355797351370971	-0.3125086076782922	2.9711774027694795	2.379722679783593
ADRA2C	-0.1378044045047348	-1.1939638311606775	-0.8283677175890108	0.0276347604121321	0.3611575725355209	-0.0875932085504773	-1.079582446058939	2.296762085896736	2.102518920887808	1.230245572747017	-0.0424123991522516	2.7786463295163006	-0.1081149648354376	-1.186642942560464	2.5451482850208262	0.4567457609314802	0.0057401971028006	1.752250363976171	2.9080328522350256	0.4021908858836937	2.811775176997469	1.8036808177154453	2.612885364910225	2.884790295406717	2.5434305707413616	2.3318375325245624	0.1004310654286994	2.9080328522350256	0.315093553997409	0.4507221499044089	-0.5561905768241059	0.2020178557609154	0.6844306910070788	0.7441489139884433	-0.7376124846004405	-0.1227517613620717
ADSSL1	-0.3264073964376464	-1.001038100814172	-0.5423923473695501	0.5629691721753144	1.241334232316195	0.3018896670396247	-1.0812709457906464	1.041589788442504	1.7840617860462162	1.0762327142221182	-0.4282754529865986	1.6443184628612415	-0.2409309461947252	-1.7732198012814615	0.1863256187565851	-0.8027505884376128	-0.366086209478982	1.0579279006504247	2.530634105438691	1.4245493067462898	3.09159247078252	1.7313858194490968	2.7245815529145627	3.082116986370727	2.9143148182724623	2.7321639191829328	0.1747088750587333	2.7745079966391555	1.4984180320210998	1.8693183915244425	0.2498996620636634	0.5659274349535564	0.9689453111351825	0.8875135737316051	0.4246473964098594	-0.1567890291067248
AFAP1-AS1	1.4521599022809757	-1.845548667261016	0.7635337537843129	0.6768635718051582	0.403974169522896	0.4697254882956308	-0.6928156821816637	0.8999492380200947	1.8925610234731935	-0.3022763408713529	-1.5094511709504463	1.2436432553949857	-0.8807525948209788	-1.0171836497428446	0.5101658003047547	0.3734095432938194	-0.353075463663137	0.8815095910627233	2.9813517851049856	1.9561269789588396	2.994403930939296	1.8238699066822783	2.7925448931841204	3.1295174732786863	3.0564725783429685	2.152393035020099	-0.2648515881821301	0.5127099417951937	1.3613574417272505	0.7682910175377816	0.6475212043406431	-0.0312158672943539	0.8766031410376914	0.3886395039857051	0.3182222753162472	0.7715031203212621
ANKRD16	0.8508594203904533	0.3478223698976074	-0.642893740619153	0.3722348074532083	0.2892827057629905	0.8213579665642813	-0.8481608212563729	1.8722869955879236	1.1262572249314655	0.7770872933078113	1.5310757530688994	0.2034190199070488	-1.6217283084984833	0.3087335302842272	2.46080975930901	0.9934668878493232	-1.9999501508877908	0.1412055739669692	2.6714073058514183	0.779479333415909	3.065091143022717	1.5621120887317224	2.522735252415427	2.5383650180370565	0.246774855919533	1.521450169575515	0.7260524853255476	-1.1712408442278417	1.2868319249830928	2.1309256765026428	2.199549601953762	1.882409870466862	0.2253849838056972	0.6204464975147915	0.961717248192284	0.1291835475236791
AP1S3	-1.102267449255525	2.8220986091230538	2.4953309490592224	2.022895810124805	1.1336456568783893	1.5239020743428269	2.6404791580721496	0.8408575009696722	0.4711530092856947	0.9450205880250232	1.2608672558996676	0.303673099935356	1.2663231856203856	0.6119764110583902	1.3135124998949708	2.8021128631358545	2.8220986091230538	2.127385178686812	-1.3194756426646586	-0.292799278430231	-0.1282369161304063	-1.3911156819310888	0.0389638086730975	-0.7761946592614913	-0.6763505556542152	-0.5319999126097137	1.512369448372817	-1.985884402324425	2.8220986091230538	-0.7698286483813651	-0.2561627512997109	2.5106806991067168	1.952846454459672	-0.8205824548910006	0.683235709259317	1.9649449375943235
AQP4	-0.5577490823409382	0.1330266333332963	0.0091627931623235	2.0934043769131243	1.0646722429303217	-1.0163251065231549	-0.9229736190554592	0.5272991166495439	-0.4091602618553688	0.4838013281127178	0.916930299115616	1.1114480968646427	-0.4214634916610836	-0.1461820515655199	0.2867554966712032	-0.8806297403410283	-0.2684419022325843	0.3637514325453984	3.1809030871615724	3.033747506779945	2.816554771209252	2.699238055550435	2.56861574113572	2.8458199935777224	2.5919402390920823	2.7573595221230347	-0.4298565320293428	0.1250099531993826	-1.1042461582076657	0.4104381894552936	1.029764880130274	0.265622278737546	-1.1933835829214554	-0.1237722688632609	-0.528940184038759	0.5346409321559848
ARG2	0.2595142197424331	3.1901820195965573	2.844649787784284	2.248764380981428	-0.3115562562376197	0.0012296201747779	1.1029085646989558	0.7654917504860357	1.168062195001346	0.0922050114991471	-1.2843677437312144	0.533845101135618	-0.0957536434970511	-0.8987824977818415	2.1734801480989407	3.183814348479449	3.3052044538863443	1.8584049159724243	1.3296489059737695	0.0856544092180207	0.1054165142480006	0.0439083476727008	1.567543475843868	0.3798084591780175	0.3666241381283777	0.5663523351488844	-0.0415211304676056	1.7781859174803816	1.619658238280869	1.6773422721089917	0.3012471725538934	2.5688568907213427	-0.4872497181126166	1.8707340399152357	0.1069607156074732	0.7625497932672487
ASNS	-0.1034967957602163	0.956772728501959	-0.0584265197005883	0.339861468151922	0.2745489222440876	0.5823890707422981	2.32790025622714	0.97932836580803	0.4055104563742074	0.4558741605691827	1.0089586790944265	1.0098511713649032	-0.2118323785316432	0.1645349337432367	-2.100676106430135	0.7256261213509448	0.2521683730692857	-0.5498865600772656	2.663294045765952	-0.5007392389303277	2.718574732944004	2.4667016454209723	2.575392987371908	2.6460644282732657	2.7241831222322217	2.463870527066426	0.7423560988908785	2.7382292282596925	0.3585533535215763	2.972489340167235	1.346246392659308	0.8657217349719343	1.1495608611829122	0.3920836088246955	0.6055432210872713	0.4299900592484201
BBS2	2.2634295797159685	-1.2092900592174138	-0.2063899298249044	-0.1500574410515327	1.632921548938097	1.8880362737657157	-1.4767986676001137	-1.296362097120784	-1.0674764716847018	1.928018005986665	0.1162101287769138	0.1077722154536836	-1.4180395522616962	0.6805696989021502	0.9361392053984736	0.9007150765024642	0.3565646897039018	2.589725791227448	2.379771412676122	2.694934658884266	1.8289487945693217	0.2930483726549878	2.0506239731119105	2.744681620775536	2.053967601990568	2.3369743178846627	-0.0605381850444276	-0.123762163999712	1.9903303520794748	-0.2703771628239252	-0.3442348494816587	-0.6681213441921207	0.3538618781833485	1.835173039699473	-0.487835549692111	0.3967064424113537
BCL6B	0.2201142967740689	-1.745846691018608	0.3093630380612975	0.0579400931752642	-0.318570995753333	-0.6916405991691172	-0.1276832146787125	-0.0682172108793154	1.5419804070282952	-0.888193384735674	-0.6165155672860783	1.7434790819149928	-0.2645331830647228	-0.1261171548759155	-0.5005060762116619	-0.0922839020685745	-0.2724848704224455	0.3347406637919077	4.091287158024103	-0.4337116219266196	1.3401151160115323	2.338269536983922	3.472623494683596	2.2207160553043623	2.1048764812283296	4.091287158024103	2.8021265605436767	1.107380378868193	0.1049130819192441	-0.540557894019779	-0.40552502139638	0.0145297890257712	-0.178589205616779	1.0031013784064335	1.888715168557962	-0.0643708845049465
BNIP3L	1.5271456347809045	0.2766137990504745	1.8422403693289824	0.2547640357396871	0.421049788055407	1.198819835813026	0.3437830612997614	2.801294049288464	0.4908748348881164	1.6357110671877926	1.0406309425237283	0.8832572694409486	-0.7419863101574271	2.847276512431764	2.847276512431764	2.847276512431764	1.992787972436062	2.5304977253496963	1.8082423362993336	1.189554526511548	0.3415057719818966	-1.0856003734464377	1.086981154130666	0.6552746984507362	1.5556890219945163	1.5413008533589911	-0.3901544759634256	-0.9785308744465636	2.830694150922728	-0.061349969449656	0.0233627586323124	1.8522420607802976	0.8916546199313445	2.088444576679668	-0.8044363709161658	-0.2281622773566341
