"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051156","glucose 6-phosphate metabolic process",26,-0.651625327871012,-1.8986475706292,0.000494668589519905,0.00696230731156774,0.00525196972766573,3245,"tags=35%, list=10%, signal=31%","G6PD/TALDO1/DERA/TKT/RPE/MLST8/GPI/RPIA/HK1"
"GO:0072528","pyrimidine-containing compound biosynthetic process",39,-0.576479470524507,-1.83639960758487,0.00050555554578203,0.00708352259033231,0.00534340765852873,2623,"tags=33%, list=8%, signal=31%","DCK/NME1/NME2/CMPK1/DTYMK/UCK2/CMPK2/THTPA/NME4/DUT/TBPL1/TK1/TYMS"
"GO:0007007","inner mitochondrial membrane organization",35,-0.615363508096453,-1.91833467311493,0.000514412718847262,0.00716403412502457,0.00540414099361566,3455,"tags=37%, list=11%, signal=33%","TIMM22/BCS1L/TMEM126A/CHCHD3/TIMM10/APOO/GHITM/MICU1/TIMM8B/ROMO1/PINK1/NDUFA13/TMEM11"
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway",23,0.668639211009845,1.90611191725937,0.000513624713514401,0.00716403412502457,0.00540414099361566,5880,"tags=65%, list=18%, signal=53%","PRKD2/PRKCH/RELA/CMTM3/SLC39A10/PTPRC/FOXP1/KCNN4/UBR2/BCL10/LIPA/LCK/CYLD/CCR7/NFAM1"
"GO:0002695","negative regulation of leukocyte activation",180,0.389861568714938,1.604710136583,0.000514787853590573,0.00716403412502457,0.00540414099361566,5645,"tags=37%, list=18%, signal=30%","CEBPB/PELI1/HAVCR2/RASSF5/CD86/STAT5A/CD69/ATM/HLX/PTPN2/PRKAR1A/IL10/RUNX3/MERTK/TBX21/LYN/TNFAIP3/HLA-DRB1/IRF1/CD74/TNFRSF14/PKN1/PRNP/TIGIT/CD300LF/SAMSN1/VSIG4/CBLB/HLA-E/IL4R/INPP5D/LAPTM5/FGL2/DUSP22/CD300A/HLA-G/ITCH/PDCD1/RC3H2/MILR1/PTPRC/SFTPD/GLI3/CTLA4/BCL6/LILRB1/PTPN6/TBC1D10C/CD84/UFL1/SOCS5/CNR1/LILRB4/RUNX1/CR1/SLC4A2/XCL1/FCGR2B/ASCL2/CBFB/ZBTB7B/JAK3/CRTAM/IL20RB/BTK/HFE"
"GO:0051303","establishment of chromosome localization",99,-0.449211532746307,-1.70112104638123,0.000528301252140485,0.00733553427803174,0.00553351098140508,3021,"tags=34%, list=9%, signal=31%","CHMP4B/FAM83D/PSRC1/CHMP7/CHMP4C/KIF14/SKA3/DCTN2/NEK2/CHMP5/TTK/KNTC1/RACGAP1/NUF2/AURKB/VPS4A/SPC24/KIFC1/SKA1/CENPE/KAT2B/CDCA8/KIF2C/SPC25/KIF22/CENPF/NDC80/CCNB1/CDT1/SPAG5/CDK1/ZWINT/CDCA5/BIRC5"
"GO:0070266","necroptotic process",38,0.584841668767724,1.87058318831364,0.000543511208457743,0.00752261027368375,0.00567463050141031,4980,"tags=53%, list=16%, signal=45%","PELI1/CASP8/ZBP1/FASLG/IPMK/OGT/PPIF/MLKL/CFLAR/ITCH/SPATA2/RBCK1/RNF31/RIPK3/NLRP6/ARHGEF2/TLR3/ITPK1/FAS/CYLD"
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",48,-0.558249955171035,-1.85924503757987,0.000545435002812107,0.00752261027368375,0.00567463050141031,2058,"tags=44%, list=6%, signal=41%","SKA3/BUB1B/TTK/MAD2L1/KNTC1/NUF2/TRIP13/AURKB/SPC24/CDC20/SKA1/CDCA8/FBXO5/CDK5RAP2/SPC25/CENPF/NDC80/CCNB1/BUB1/ZWINT/BIRC5"
"GO:1905819","negative regulation of chromosome separation",48,-0.558249955171035,-1.85924503757987,0.000545435002812107,0.00752261027368375,0.00567463050141031,2058,"tags=44%, list=6%, signal=41%","SKA3/BUB1B/TTK/MAD2L1/KNTC1/NUF2/TRIP13/AURKB/SPC24/CDC20/SKA1/CDCA8/FBXO5/CDK5RAP2/SPC25/CENPF/NDC80/CCNB1/BUB1/ZWINT/BIRC5"
"GO:0002262","myeloid cell homeostasis",171,-0.396336201795952,-1.62266982671543,0.000561769073567634,0.00773059450567961,0.00583152200897981,2224,"tags=23%, list=7%, signal=22%","TMEM14C/GATA2/MPL/PRDX1/EPB42/RPS24/CHMP5/RACGAP1/FLVCR1/MTHFD1/VEGFA/HMGB1/VPS13A/DIAPH3/GPI/AHSP/CDK6/JAM3/SLC25A38/ABCB10/THRA/ALAS2/SLC4A1/DYRK3/GATA1/CITED2/FOXO3/TRIM58/TAL1/TRIM10/INHBA/FECH/BPGM/RHAG/SLC1A5/TSPO2/MYB/SOD1/KLF1/SLC48A1"
